S.No.,Item,2014-15,State,Percentage,Category
1,"Agriculture, forestry and fishing",14819416,Andhra_Pradesh,28.14872733,C1
1.1,Crops,7893514,Andhra_Pradesh,14.99332856,C1
1.2,Livestock,4309078,Andhra_Pradesh,8.184874603,C1
1.3,Forestry and logging,346160,Andhra_Pradesh,0.657513322,C1
1.4,Fishing and aquaculture,2270664,Andhra_Pradesh,4.313010835,C1
2,Mining and quarrying,1484300,Andhra_Pradesh,2.819352393,C1
Total,Primary,16303716,Andhra_Pradesh,30.96807972,C1
3,Manufacturing,4672266,Andhra_Pradesh,8.874731746,C1
4,"Electricity, gas, water supply & other utility services",1151729,Andhra_Pradesh,2.187650686,C1
5,Construction,4664889,Andhra_Pradesh,8.860719509,C1
Total,Secondary,10488884,Andhra_Pradesh,19.92310194,C1
6,"Trade, repair, hotels and restaurants",4233400,Andhra_Pradesh,8.041128089,C1
6.1,Trade & repair services,3716000,Andhra_Pradesh,7.058353092,C1
6.2,Hotels & restaurants,517400,Andhra_Pradesh,0.982774997,C1
7,"Transport, storage, communication & services related to broadcasting",5076984,Andhra_Pradesh,9.643473012,C1
7.1,Railways,424228,Andhra_Pradesh,0.80579952,C1
7.2,Road transport,2816000,Andhra_Pradesh,5.348848845,C1
7.3,Water transport,94200,Andhra_Pradesh,0.178928111,C1
7.4,Air transport,14900,Andhra_Pradesh,0.028301793,C1
7.5,Services incidental to transport,780200,Andhra_Pradesh,1.481950237,C1
7.6,Storage,18700,Andhra_Pradesh,0.035519699,C1
7.7,Communication & services related to broadcasting,928756,Andhra_Pradesh,1.764124807,C1
8,Financial services,1900863,Andhra_Pradesh,3.610592635,C1
9,"Real estate, ownership of dwelling & professional services",4405409,Andhra_Pradesh,8.36785044,C1
10,Public administration,2200897,Andhra_Pradesh,4.180491966,C1
11,Other services,4215389,Andhra_Pradesh,8.00691711,C1
Total,Tertiary,22032942,Andhra_Pradesh,41.85045325,C1
12,TOTAL GSVA at basic prices,48825542,Andhra_Pradesh,92.74163491,C1
13,Taxes on Products,5512100,Andhra_Pradesh,10.46995373,C1
14,Subsidies on products,1690800,Andhra_Pradesh,3.211588646,C1
15,Gross State Domestic Product,52646842,Andhra_Pradesh,100,C1
16,Population ('00),501510,Andhra_Pradesh,0.95259275,C1
17,Per Capita GSDP (Rs.),104977,Andhra_Pradesh,0.199398475,C1
1,"Agriculture, forestry and fishing",686117,Arunachal_Pradesh,40.93486202,C2
1.1,Crops,415520,Arunachal_Pradesh,24.79060258,C2
1.2,Livestock,38387,Arunachal_Pradesh,2.290231183,C2
1.3,Forestry and logging,224017,Arunachal_Pradesh,13.36522049,C2
1.4,Fishing and aquaculture,8193,Arunachal_Pradesh,0.488807776,C2
2,Mining and quarrying,30842,Arunachal_Pradesh,1.840084147,C2
Total,Primary,716959,Arunachal_Pradesh,42.77494617,C2
3,Manufacturing,26120,Arunachal_Pradesh,1.558361906,C2
4,"Electricity, gas, water supply & other utility services",113527,Arunachal_Pradesh,6.773206437,C2
5,Construction,147842,Arunachal_Pradesh,8.820495442,C2
Total,Secondary,287489,Arunachal_Pradesh,17.15206379,C2
6,"Trade, repair, hotels and restaurants",60421,Arunachal_Pradesh,3.604815649,C2
6.1,Trade & repair services,56796,Arunachal_Pradesh,3.388542222,C2
6.2,Hotels & restaurants,3625,Arunachal_Pradesh,0.216273427,C2
7,"Transport, storage, communication & services related to broadcasting",35203,Arunachal_Pradesh,2.100268537,C2
7.1,Railways,59,Arunachal_Pradesh,0.003520036,C2
7.2,Road transport,15467,Arunachal_Pradesh,0.922786509,C2
7.3,Water transport,0,Arunachal_Pradesh,0,C2
7.4,Air transport,0,Arunachal_Pradesh,0,C2
7.5,Services incidental to transport,109,Arunachal_Pradesh,0.006503118,C2
7.6,Storage,0,Arunachal_Pradesh,0,C2
7.7,Communication & services related to broadcasting,19568,Arunachal_Pradesh,1.167458874,C2
8,Financial services,25207,Arunachal_Pradesh,1.503890834,C2
9,"Real estate, ownership of dwelling & professional services",48418,Arunachal_Pradesh,2.888697044,C2
10,Public administration,243867,Arunachal_Pradesh,14.54950394,C2
11,Other services,218728,Arunachal_Pradesh,13.0496701,C2
Total,Tertiary,631844,Arunachal_Pradesh,37.69684611,C2
12,TOTAL GSVA at basic prices,1636292,Arunachal_Pradesh,97.62385606,C2
13,Taxes on Products,70099,Arunachal_Pradesh,4.182220952,C2
14,Subsidies on products,30272,Arunachal_Pradesh,1.806077015,C2
15,Gross State Domestic Product,1676119,Arunachal_Pradesh,100,C2
16,Population ('00),14870,Arunachal_Pradesh,0.887168512,C2
17,Per Capita GSDP (Rs.),112718,Arunachal_Pradesh,6.724940174,C2
